Elevation,Species,Abundance_per_quadrat,Date,time,Collectors
High,Zebra snail,0,25-Feb,am,unknown 01
High,Limpet,21,25-Feb,am,unknown 01
High,Zebra snail,3,25-Feb,am,unknown 01
High,Black snail,12,25-Feb,am,unknown 01
High,Limpet,2,25-Feb,am,unknown 01
High,Zebra snail,0,25-Feb,am,unknown 01
Low,Black snail,7,25-Feb,am,unknown 01
Low,Limpet,8,25-Feb,am,unknown 01
Low,Zebra snail,0,25-Feb,am,unknown 01
Low,Black snail,26,25-Feb,am,unknown 01
Low,Limpet,26,25-Feb,am,unknown 01
Low,Zebra snail,1,25-Feb,am,unknown 01
Low,Black snail,0,25-Feb,am,unknown 01
Low,Limpet,22,25-Feb,am,unknown 01
Low,Zebra snail,0,25-Feb,am,unknown 01
Low,Black snail,0,25-Feb,am,unknown 01
Low,Limpet,9,25-Feb,am,unknown 01
Mid,Black snail,10,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,27,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,16,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Black snail,2,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,11,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,7,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Black snail,3,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,40,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,2,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Black snail,2,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,18,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,10,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,113,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,141,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,24,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,24,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,9,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,26,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,4,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,20,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,19,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,1,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,35,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,1,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,44,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,27,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,34,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,19,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,3,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,24,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Nerita,0,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
High,Austrocochlea,10,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
High,Cellana,3,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Nerita,14,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,5,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Austrocochlea,12,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Low,Nerita,9,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,14,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Austrocochlea,23,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Nerita,1,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Austrocochlea,12,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Nerita,3,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Low,Cellana,37,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,24,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Low,Nerita,0,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Austrocochlea,3,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,24,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Low,Nerita,0,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,31,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
High,Austrocochlea,2,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Nerita,0,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Austrocochlea,11,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,22,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
High,Austrocochlea,49,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Austrocochlea,9,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,32,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Low,Nerita,37,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Nerita,6,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,19,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
High,Austrocochlea,0,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Low,Cellana,35,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Low,Austrocochlea,2,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Low,Nerita,0,25-Feb,am,Aqilah
Low,Cellana,11,25-Feb,am,Aqilah
Low,Austrocochlea,0,25-Feb,am,Aqilah
Low,Nerita,0,25-Feb,am,Aqilah
Mid,Cellana,10,25-Feb,am,Aqilah
Mid,Austrocochlea,13,25-Feb,am,Aqilah
High,Nerita,2,25-Feb,am,Aqilah
High,Cellana,0,25-Feb,am,Aqilah
High,Austrocochlea,20,25-Feb,am,Aqilah
Mid,Nerita,3,25-Feb,am,Aqilah
Mid,Cellana,17,25-Feb,am,Aqilah
Mid,Austrocochlea,7,25-Feb,am,Aqilah
Mid,Nerita,3,25-Feb,am,Aqilah
Mid,Cellana,9,25-Feb,am,Aqilah
Mid,Austrocochlea,14,25-Feb,am,Aqilah
Mid,Nerita,18,25-Feb,am,Aqilah
Mid,Cellana,16,25-Feb,am,Aqilah
Mid,Austrocochlea,32,25-Feb,am,Aqilah
High,Nerita,27,25-Feb,am,Aqilah
High,Cellana,7,25-Feb,am,Aqilah
High,Austrocochlea,0,25-Feb,am,Aqilah
High,Nerita,1,25-Feb,am,Aqilah
High,Cellana,31,25-Feb,am,Aqilah
High,Austrocochlea,0,25-Feb,am,Aqilah
Mid,Nerita,0,25-Feb,am,Aqilah
Mid,Cellana,42,25-Feb,am,Aqilah
Mid,Austrocochlea,0,25-Feb,am,Aqilah
Mid,Nerita,0,25-Feb,am,Aqilah
Mid,Cellana,36,25-Feb,am,Aqilah
Mid,Austrocochlea,8,25-Feb,am,Aqilah
Low,Nerita,11,25-Feb,am,Aqilah
Low,Cellana,1,25-Feb,am,Aqilah
Low,Austrocochlea,0,25-Feb,am,Aqilah
Low,Nerita,0,25-Feb,am,Aqilah
Low,Cellana,28,25-Feb,am,Aqilah
Low,Austrocochlea,0,25-Feb,am,Aqilah
High,Limpet,19,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Black snail,33,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Zebra snail,39,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Limpet,20,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Black snail,22,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Zebra snail,4,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Limpet,0,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Black snail,0,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Zebra snail,0,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Black snail,38,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Limpet,26,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Austrocochlea,22,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Black snail,39,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Limpet,7,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Zebra snail,8,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Black snail,27,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Limpet,1,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Zebra snail,1,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Limpet,4,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Black snail,18,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Zebra snail,0,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Limpet,13,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Black snail,27,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Zebra snail,14,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Limpet,14,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Black snail,11,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Zebra snail,5,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Limpet,19,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Black snail,23,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Zebra snail,11,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Black snail,1,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Limpet,46,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
Mid,Zebra snail,0,25-Feb,am,"Aill, Alex, Finn, Anika, Eve"
High,Nerita,9,25-Feb,am,unknown 02
High,Limpet,0,25-Feb,am,unknown 02
High,Austrocochlea,1,25-Feb,am,unknown 02
Mid,Nerita,2,25-Feb,am,unknown 02
Mid,Limpet,7,25-Feb,am,unknown 02
Mid,Austrocochlea,0,25-Feb,am,unknown 02
Low,Nerita,0,25-Feb,am,unknown 02
Low,Limpet,1,25-Feb,am,unknown 02
Low,Austrocochlea,0,25-Feb,am,unknown 02
Low,Nerita,0,25-Feb,am,unknown 02
Low,Austrocochlea,0,25-Feb,am,unknown 02
Low,Limpet,28,25-Feb,am,unknown 02
Mid,Nerita,0,25-Feb,am,unknown 02
Mid,Austrocochlea,2,25-Feb,am,unknown 02
Mid,Limpet,23,25-Feb,am,unknown 02
High,Nerita,0,25-Feb,am,unknown 02
High,Limpet,25,25-Feb,am,unknown 02
High,Austrocochlea,2,25-Feb,am,unknown 02
High,Nerita,1,25-Feb,am,unknown 02
High,Limpet,12,25-Feb,am,unknown 02
High,Austrocochlea,2,25-Feb,am,unknown 02
Mid,Nerita,0,25-Feb,am,"Jacob, Idhant, Noah"
Low,Cellana,0,25-Feb,am,"Jacob, Idhant, Noah"
Low,Austrocochlea,4,25-Feb,am,"Jacob, Idhant, Noah"
Low,Austrocochlea,10,25-Feb,am,"Jacob, Idhant, Noah"
Low,Nerita,0,25-Feb,am,"Jacob, Idhant, Noah"
Low,Cellana,2,25-Feb,am,"Jacob, Idhant, Noah"
Low,Cellana,42,25-Feb,am,"Jacob, Idhant, Noah"
Low,Cellana,26,25-Feb,am,"Jacob, Idhant, Noah"
Mid,Nerita,32,25-Feb,am,"Jacob, Idhant, Noah"
Mid,Austrocochlea,19,25-Feb,am,"Jacob, Idhant, Noah"
Mid,Cellana,7,25-Feb,am,"Jacob, Idhant, Noah"
Mid,Nerita,0,25-Feb,am,"Jacob, Idhant, Noah"
High,Nerita,4,25-Feb,am,"Jacob, Idhant, Noah"
High,Cellana,8,25-Feb,am,"Jacob, Idhant, Noah"
Low,Austrocochlea,0,25-Feb,am,"Jacob, Idhant, Noah"
Low,Cellana,2,25-Feb,am,"Jacob, Idhant, Noah"
Low,Cellana,6,25-Feb,am,"Jacob, Idhant, Noah"
Mid,Nerita,19,25-Feb,am,"Jacob, Idhant, Noah"
Mid,Nerita,14,25-Feb,am,"Jacob, Idhant, Noah"
Mid,Nerita,2,25-Feb,am,unknown 03
Mid,Nerita,0,25-Feb,am,unknown 03
Mid,Nerita,3,25-Feb,am,unknown 03
Mid,Nerita,40,25-Feb,am,unknown 03
Mid,Nerita,20,25-Feb,am,unknown 03
Mid,Nerita,11,25-Feb,am,unknown 03
Low,Nerita,0,25-Feb,am,unknown 03
Low,Nerita,0,25-Feb,am,unknown 03
Mid,Nerita,0,25-Feb,am,unknown 03
High,Nerita,6,25-Feb,am,unknown 03
High,Nerita,0,25-Feb,am,unknown 03
Mid,Nerita,0,25-Feb,am,unknown 03
Mid,Cellana,26,25-Feb,am,unknown 03
Mid,Cellana,21,25-Feb,am,unknown 03
Mid,Cellana,25,25-Feb,am,unknown 03
Mid,Cellana,18,25-Feb,am,unknown 03
Low,Cellana,15,25-Feb,am,unknown 03
Low,Cellana,0,25-Feb,am,unknown 03
Low,Cellana,14,25-Feb,am,unknown 03
Low,Cellana,16,25-Feb,am,unknown 03
Mid,Cellana,23,25-Feb,am,unknown 03
High,Cellana,0,25-Feb,am,unknown 03
Mid,Cellana,27,25-Feb,am,unknown 03
Mid,Cellana,20,25-Feb,am,unknown 03
Low,Zebra snail,0,25-Feb,am,unknown 03
Low,Zebra snail,1,25-Feb,am,unknown 03
Mid,Zebra snail,3,25-Feb,am,unknown 03
Mid,Zebra snail,0,25-Feb,am,unknown 03
Mid,Nerita,17,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Limpet,39,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Zebra snail,16,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Limpet,11,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Nerita,41,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Zebra snail,1,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Nerita,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Zebra snail,5,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Limpet,45,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Zebra snail,5,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Limpet,17,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Zebra snail,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Limpet,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Zebra snail,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Nerita,25,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Limpet,10,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Zebra snail,11,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Nerita,5,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Limpet,12,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Zebra snail,8,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Nerita,6,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Limpet,3,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Zebra snail,8,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Nerita,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Nerita,11,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Limpet,7,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Zebra snail,3,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Zebra snail,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Limpet,19,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Nerita,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Limpet,17,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Nerita,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Zebra snail,1,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Limpet,24,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Zebra snail,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Nerita,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Zebra snail,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Nerita,28,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Cellana,9,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Limpet,37,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Nerita,1,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Austrocochlea,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Austrocochlea,6,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Cellana,13,25-Feb,am,"Elana, Eily, Hayden, Dan"
Mid,Nerita,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Austrocochlea,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Nerita,0,25-Feb,am,"Elana, Eily, Hayden, Dan"
High,Cellana,25,25-Feb,am,"Elana, Eily, Hayden, Dan"
Low,Limpet,19,25-Feb,am,unknown 04
Low,Black snail,0,25-Feb,am,unknown 04
Low,Austrocochlea,1,25-Feb,am,unknown 04
Low,Limpet,27,25-Feb,am,unknown 04
Low,Black snail,0,25-Feb,am,unknown 04
Low,Austrocochlea,3,25-Feb,am,unknown 04
Low,Limpet,11,25-Feb,am,unknown 04
Low,Black snail,0,25-Feb,am,unknown 04
Low,Austrocochlea,0,25-Feb,am,unknown 04
Low,Limpet,30,25-Feb,am,unknown 04
Low,Black snail,0,25-Feb,am,unknown 04
Mid,Austrocochlea,0,25-Feb,am,unknown 04
Mid,Limpet,24,25-Feb,am,unknown 04
Mid,Black snail,0,25-Feb,am,unknown 04
Mid,Austrocochlea,2,25-Feb,am,unknown 04
Mid,Limpet,33,25-Feb,am,unknown 04
Mid,Black snail,2,25-Feb,am,unknown 04
Mid,Austrocochlea,7,25-Feb,am,unknown 04
Low,Limpet,0,25-Feb,am,unknown 04
Low,Black snail,0,25-Feb,am,unknown 04
Low,Austrocochlea,0,25-Feb,am,unknown 04
Low,Limpet,52,25-Feb,am,unknown 04
Low,Black snail,0,25-Feb,am,unknown 04
Low,Austrocochlea,1,25-Feb,am,unknown 04
Low,Limpet,4,25-Feb,am,unknown 04
Low,Black snail,0,25-Feb,am,unknown 04
Low,Austrocochlea,0,25-Feb,am,unknown 04
Low,Limpet,30,25-Feb,am,unknown 04
Low,Black snail,0,25-Feb,am,unknown 04
Mid,Austrocochlea,12,25-Feb,am,unknown 04
Mid,Limpet,4,25-Feb,am,unknown 04
Mid,Black snail,28,25-Feb,am,unknown 04
Mid,Austrocochlea,2,25-Feb,am,unknown 04
Mid,Limpet,27,25-Feb,am,unknown 04
High,Black snail,0,25-Feb,am,unknown 04
High,Austrocochlea,2,25-Feb,am,unknown 04
High,Limpet,33,25-Feb,am,unknown 04
High,Black snail,0,25-Feb,am,unknown 04
High,Austrocochlea,0,25-Feb,am,unknown 04
High,Limpet,29,25-Feb,am,unknown 04
Mid,Black snail,0,25-Feb,am,unknown 04
Mid,Austrocochlea,5,25-Feb,am,unknown 04
Mid,Limpet,23,25-Feb,am,unknown 04
Mid,Black snail,3,25-Feb,am,unknown 04
Mid,Austrocochlea,0,25-Feb,am,unknown 04
Mid,Limpet,35,25-Feb,am,unknown 04
Mid,Black snail,17,25-Feb,am,unknown 04
Mid,Austrocochlea,0,25-Feb,am,unknown 04
,,,,,
,,,,,
,,,,,
